Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,UTM_easting(scaled),UTM_northing(scaled)
0,11,195306,0,GPS1_Frame,42.33195783333334,-71.09758533333334,45.4,327185.1109797153,4688764.977610028,19,T,0.9404551360639744,0.0
1,12,195307,0,GPS1_Frame,42.33195916666667,-71.09758416666666,45.4,327185.2107543857,4688765.123295621,19,T,1.0402298064436764,0.14568559266626835
2,13,195308,0,GPS1_Frame,42.33195966666667,-71.0975835,45.5,327185.26705116185,4688765.177462012,19,T,1.0965265826089308,0.19985198322683573
3,14,195309,0,GPS1_Frame,42.33196,-71.09758316666667,45.7,327185.2954277868,4688765.213798735,19,T,1.1249032075866126,0.23618870694190264
4,15,195310,0,GPS1_Frame,42.33195966666667,-71.09758333333333,45.8,327185.28078299784,4688765.177123315,19,T,1.1102584186010063,0.1995132863521576
5,16,195311,0,GPS1_Frame,42.33196,-71.0975835,45.9,327185.267964115,4688765.214476127,19,T,1.0974395357770845,0.23686609882861376
6,17,195312,0,GPS1_Frame,42.331959833333336,-71.0975835,46.0,327185.2675076385,4688765.195969069,19,T,1.0969830592512153,0.21835904102772474
7,18,195313,0,GPS1_Frame,42.331960333333335,-71.09758383333333,46.2,327185.2414133965,4688765.252167635,19,T,1.0708888172521256,0.2745576063171029
8,19,195314,0,GPS1_Frame,42.331961,-71.09758433333333,46.4,327185.20204379386,4688765.327211954,19,T,1.0315192146226764,0.34960192535072565
9,20,195315,0,GPS1_Frame,42.33196216666667,-71.09758466666668,46.7,327185.1777754583,4688765.457438752,19,T,1.0072508790763095,0.479828723706305
10,21,195316,0,GPS1_Frame,42.3319635,-71.09758466666668,47.0,327185.1814272731,4688765.605495217,19,T,1.0109026938444003,0.6278851889073849
11,22,195317,0,GPS1_Frame,42.331965,-71.09758483333333,47.2,327185.1718037301,4688765.772397436,19,T,1.001279150834307,0.7947874078527093
12,23,195318,0,GPS1_Frame,42.331965833333335,-71.09758433333333,47.2,327185.2152816207,4688765.863916638,19,T,1.0447570414398797,0.8863066099584103
