Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality,UTM_easting(scaled),UTM_northing(scaled)
78,234.0,1666041101.0,0.0,GPS1_Frame,42.33937072753906,-71.0870590209961,12.600000381469728,328072.28125,4689567.0,19.0,T,5.0,10.9375,1.5
79,235.0,1666041102.0,0.0,GPS1_Frame,42.3393669128418,-71.08706665039062,12.399999618530272,328071.6875,4689566.5,19.0,T,5.0,10.34375,1.0
80,236.0,1666041103.0,0.0,GPS1_Frame,42.3393669128418,-71.08707427978516,12.399999618530272,328071.0625,4689566.0,19.0,T,5.0,9.71875,0.5
81,237.0,1666041104.0,0.0,GPS1_Frame,42.33936309814453,-71.08708190917969,12.300000190734863,328070.46875,4689566.0,19.0,T,5.0,9.125,0.5
82,238.0,1666041105.0,0.0,GPS1_Frame,42.33935928344727,-71.08708953857422,12.199999809265137,328069.84375,4689566.0,19.0,T,5.0,8.5,0.5
83,239.0,1666041106.0,0.0,GPS1_Frame,42.33935928344727,-71.08709716796875,12.100000381469728,328069.15625,4689565.5,19.0,T,5.0,7.8125,0.0
84,240.0,1666041107.0,0.0,GPS1_Frame,42.33935928344727,-71.08710479736328,12.100000381469728,328068.59375,4689565.5,19.0,T,5.0,7.25,0.0
85,241.0,1666041108.0,0.0,GPS1_Frame,42.33936309814453,-71.08711242675781,12.0,328068.21875,4689566.5,19.0,T,5.0,6.875,1.0
86,242.0,1666041109.0,0.0,GPS1_Frame,42.3393669128418,-71.08711242675781,12.0,328067.9375,4689566.5,19.0,T,5.0,6.59375,1.0
87,243.0,1666041110.0,0.0,GPS1_Frame,42.33937454223633,-71.08712005615234,12.0,328067.65625,4689567.0,19.0,T,5.0,6.3125,1.5
88,244.0,1666041111.0,0.0,GPS1_Frame,42.33937454223633,-71.08712005615234,12.0,328067.4375,4689567.5,19.0,T,5.0,6.09375,2.0
89,245.0,1666041112.0,0.0,GPS1_Frame,42.3393783569336,-71.08712768554688,11.899999618530272,328067.15625,4689568.0,19.0,T,5.0,5.8125,2.5
90,246.0,1666041113.0,0.0,GPS1_Frame,42.339385986328125,-71.08712768554688,11.800000190734863,328066.96875,4689568.5,19.0,T,5.0,5.625,3.0
91,247.0,1666041114.0,0.0,GPS1_Frame,42.33938980102539,-71.08712768554688,11.699999809265137,328066.65625,4689569.0,19.0,T,5.0,5.3125,3.5
92,248.0,1666041115.0,0.0,GPS1_Frame,42.339393615722656,-71.0871353149414,11.600000381469728,328066.34375,4689569.5,19.0,T,5.0,5.0,4.0
93,249.0,1666041116.0,0.0,GPS1_Frame,42.33939743041992,-71.0871353149414,11.600000381469728,328066.09375,4689570.0,19.0,T,5.0,4.75,4.5
94,250.0,1666041117.0,0.0,GPS1_Frame,42.33940124511719,-71.08714294433594,11.699999809265137,328065.75,4689570.5,19.0,T,5.0,4.40625,5.0
95,251.0,1666041118.0,0.0,GPS1_Frame,42.33940505981445,-71.08715057373047,11.600000381469728,328065.4375,4689571.0,19.0,T,5.0,4.09375,5.5
96,252.0,1666041119.0,0.0,GPS1_Frame,42.33941268920898,-71.08715057373047,11.600000381469728,328065.125,4689571.5,19.0,T,5.0,3.78125,6.0
97,253.0,1666041120.0,0.0,GPS1_Frame,42.33941650390625,-71.087158203125,11.600000381469728,328064.78125,4689572.0,19.0,T,5.0,3.4375,6.5
98,254.0,1666041121.0,0.0,GPS1_Frame,42.33942031860352,-71.087158203125,11.600000381469728,328064.40625,4689572.5,19.0,T,5.0,3.0625,7.0
99,255.0,1666041122.0,0.0,GPS1_Frame,42.33942794799805,-71.08716583251953,11.600000381469728,328064.09375,4689573.0,19.0,T,5.0,2.75,7.5
100,256.0,1666041123.0,0.0,GPS1_Frame,42.33943176269531,-71.08716583251953,11.800000190734863,328063.75,4689574.0,19.0,T,5.0,2.40625,8.5
101,257.0,1666041124.0,0.0,GPS1_Frame,42.33943939208984,-71.08717346191406,11.800000190734863,328063.46875,4689574.5,19.0,T,5.0,2.125,9.0
102,258.0,1666041125.0,0.0,GPS1_Frame,42.33944320678711,-71.08717346191406,11.800000190734863,328063.1875,4689575.0,19.0,T,5.0,1.84375,9.5
103,259.0,1666041126.0,0.0,GPS1_Frame,42.339447021484375,-71.0871810913086,11.800000190734863,328063.0,4689575.5,19.0,T,5.0,1.65625,10.0
104,260.0,1666041127.0,0.0,GPS1_Frame,42.33945083618164,-71.0871810913086,11.800000190734863,328062.75,4689576.0,19.0,T,5.0,1.40625,10.5
105,261.0,1666041128.0,0.0,GPS1_Frame,42.33945846557617,-71.08718872070312,11.699999809265137,328062.4375,4689576.5,19.0,T,5.0,1.09375,11.0
106,262.0,1666041129.0,0.0,GPS1_Frame,42.33946228027344,-71.08718872070312,12.0,328062.125,4689577.0,19.0,T,5.0,0.78125,11.5
107,263.0,1666041130.0,0.0,GPS1_Frame,42.3394660949707,-71.08719635009766,11.899999618530272,328061.75,4689578.0,19.0,T,5.0,0.40625,12.5
108,264.0,1666041131.0,0.0,GPS1_Frame,42.339473724365234,-71.08719635009766,11.899999618530272,328061.34375,4689578.5,19.0,T,5.0,0.0,13.0
109,265.0,1666041132.0,0.0,GPS1_Frame,42.339481353759766,-71.08719635009766,12.0,328061.46875,4689579.5,19.0,T,5.0,0.125,14.0
110,266.0,1666041133.0,0.0,GPS1_Frame,42.33948516845703,-71.08718872070312,12.0,328062.0,4689580.0,19.0,T,5.0,0.65625,14.5
111,267.0,1666041134.0,0.0,GPS1_Frame,42.3394889831543,-71.08718872070312,11.899999618530272,328062.46875,4689580.5,19.0,T,5.0,1.125,15.0
112,268.0,1666041135.0,0.0,GPS1_Frame,42.33949279785156,-71.0871810913086,11.899999618530272,328063.0625,4689580.5,19.0,T,5.0,1.71875,15.0
113,269.0,1666041136.0,0.0,GPS1_Frame,42.33949661254883,-71.08717346191406,12.100000381469728,328063.65625,4689581.0,19.0,T,5.0,2.3125,15.5
114,270.0,1666041137.0,0.0,GPS1_Frame,42.33949661254883,-71.08716583251953,12.100000381469728,328064.21875,4689581.0,19.0,T,5.0,2.875,15.5
115,271.0,1666041138.0,0.0,GPS1_Frame,42.339500427246094,-71.087158203125,12.100000381469728,328064.8125,4689581.5,19.0,T,5.0,3.46875,16.0
116,272.0,1666041139.0,0.0,GPS1_Frame,42.33950424194336,-71.08715057373047,12.199999809265137,328065.375,4689582.0,19.0,T,5.0,4.03125,16.5
117,273.0,1666041140.0,0.0,GPS1_Frame,42.33950805664063,-71.08714294433594,12.199999809265137,328065.96875,4689582.0,19.0,T,5.0,4.625,16.5
118,274.0,1666041141.0,0.0,GPS1_Frame,42.33951187133789,-71.0871353149414,12.300000190734863,328066.59375,4689582.5,19.0,T,5.0,5.25,17.0
119,275.0,1666041142.0,0.0,GPS1_Frame,42.33951187133789,-71.08712768554688,12.300000190734863,328067.25,4689583.0,19.0,T,5.0,5.90625,17.5
120,276.0,1666041143.0,0.0,GPS1_Frame,42.33951568603516,-71.08712005615234,12.399999618530272,328067.84375,4689583.0,19.0,T,5.0,6.5,17.5
121,277.0,1666041144.0,0.0,GPS1_Frame,42.33951950073242,-71.08711242675781,12.399999618530272,328068.4375,4689583.5,19.0,T,5.0,7.09375,18.0
122,278.0,1666041145.0,0.0,GPS1_Frame,42.33952331542969,-71.08710479736328,12.399999618530272,328069.15625,4689583.5,19.0,T,5.0,7.8125,18.0
123,279.0,1666041146.0,0.0,GPS1_Frame,42.33952713012695,-71.08709716796875,12.399999618530272,328069.8125,4689584.0,19.0,T,5.0,8.46875,18.5
124,280.0,1666041147.0,0.0,GPS1_Frame,42.33953094482422,-71.08708953857422,12.199999809265137,328070.4375,4689584.5,19.0,T,5.0,9.09375,19.0
125,281.0,1666041148.0,0.0,GPS1_Frame,42.33953475952149,-71.08708190917969,12.100000381469728,328071.03125,4689585.0,19.0,T,5.0,9.6875,19.5
126,282.0,1666041149.0,0.0,GPS1_Frame,42.33953857421875,-71.08707427978516,12.100000381469728,328071.65625,4689585.5,19.0,T,5.0,10.3125,20.0
127,283.0,1666041150.0,0.0,GPS1_Frame,42.339542388916016,-71.08706665039062,12.0,328072.3125,4689585.5,19.0,T,5.0,10.96875,20.0
128,284.0,1666041151.0,0.0,GPS1_Frame,42.33954620361328,-71.0870590209961,11.899999618530272,328073.0,4689586.0,19.0,T,5.0,11.65625,20.5
129,285.0,1666041152.0,0.0,GPS1_Frame,42.33954620361328,-71.08705139160156,11.899999618530272,328073.6875,4689586.5,19.0,T,5.0,12.34375,21.0
130,286.0,1666041153.0,0.0,GPS1_Frame,42.33955001831055,-71.08704376220703,11.899999618530272,328074.25,4689586.5,19.0,T,5.0,12.90625,21.0
131,287.0,1666041154.0,0.0,GPS1_Frame,42.33955383300781,-71.0870361328125,12.0,328074.75,4689587.0,19.0,T,5.0,13.40625,21.5
132,288.0,1666041155.0,0.0,GPS1_Frame,42.33955764770508,-71.08702850341797,12.0,328075.3125,4689587.5,19.0,T,5.0,13.96875,22.0
133,289.0,1666041156.0,0.0,GPS1_Frame,42.33955764770508,-71.08702850341797,12.0,328075.78125,4689587.5,19.0,T,5.0,14.4375,22.0
134,290.0,1666041157.0,0.0,GPS1_Frame,42.33956146240234,-71.08702087402344,11.899999618530272,328076.125,4689587.5,19.0,T,5.0,14.78125,22.0
135,291.0,1666041158.0,0.0,GPS1_Frame,42.33956146240234,-71.0870132446289,11.899999618530272,328076.59375,4689588.0,19.0,T,5.0,15.25,22.5
136,292.0,1666041159.0,0.0,GPS1_Frame,42.33956146240234,-71.0870132446289,11.899999618530272,328076.90625,4689588.0,19.0,T,5.0,15.5625,22.5
137,293.0,1666041160.0,0.0,GPS1_Frame,42.33956527709961,-71.0870132446289,11.899999618530272,328077.03125,4689588.0,19.0,T,5.0,15.6875,22.5
