Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality,UTM_easting(scaled),UTM_northing(scaled)
0,73,1665546444,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
1,74,1665546445,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
2,75,1665546446,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
3,76,1665546447,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
4,77,1665546448,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
5,78,1665546449,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
6,79,1665546450,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
7,80,1665546451,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
8,81,1665546452,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
9,82,1665546453,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
10,83,1665546454,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
11,84,1665546455,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
12,85,1665546456,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
13,86,1665546457,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
14,87,1665546458,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
15,88,1665546459,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
16,89,1665546460,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
17,90,1665546461,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4,0.09375,0.0
18,91,1665546462,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4,0.09375,0.0
19,92,1665546463,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4,0.09375,0.0
20,93,1665546464,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.599999904632568,328064.1875,4689334.5,19,T,4,0.0625,0.0
21,94,1665546465,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.599999904632568,328064.1875,4689334.5,19,T,4,0.0625,0.0
22,95,1665546466,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4,0.09375,0.0
23,96,1665546467,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.599999904632568,328064.21875,4689334.5,19,T,4,0.09375,0.0
24,97,1665546468,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.599999904632568,328064.1875,4689334.5,19,T,4,0.0625,0.0
25,98,1665546469,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
26,99,1665546470,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
27,100,1665546471,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
28,101,1665546472,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
29,102,1665546473,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
30,103,1665546474,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
31,104,1665546475,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
32,105,1665546476,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
33,106,1665546477,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.699999809265137,328064.21875,4689334.5,19,T,4,0.09375,0.0
34,107,1665546478,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4,0.09375,0.0
35,108,1665546479,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4,0.09375,0.0
36,109,1665546480,0,GPS1_Frame,42.33727645874024,-71.08708953857422,7.5,328064.21875,4689334.5,19,T,4,0.09375,0.0
