Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality,UTM_easting(scaled),UTM_northing(scaled)
0,1,1665545353,0,GPS1_Frame,42.33618927001953,-71.08855438232422,38.900001525878906,327940.65625,4689216.5,19,T,4,12.625,2.5
1,2,1665545517,0,GPS1_Frame,42.33617401123047,-71.08860778808594,38.70000076293945,327936.09375,4689215.0,19,T,4,8.0625,1.0
2,3,1665545518,0,GPS1_Frame,42.33617401123047,-71.08860778808594,39.0,327936.4375,4689215.0,19,T,4,8.40625,1.0
3,4,1665545519,0,GPS1_Frame,42.33617401123047,-71.0886001586914,39.0,327936.875,4689215.0,19,T,4,8.84375,1.0
4,5,1665545520,0,GPS1_Frame,42.33617782592773,-71.08859252929688,38.79999923706055,327937.34375,4689215.5,19,T,4,9.3125,1.5
5,6,1665545521,0,GPS1_Frame,42.336181640625,-71.08859252929688,38.79999923706055,327937.84375,4689215.5,19,T,4,9.8125,1.5
6,7,1665545522,0,GPS1_Frame,42.336181640625,-71.08858489990234,39.0,327938.0,4689216.0,19,T,4,9.96875,2.0
7,8,1665545523,0,GPS1_Frame,42.336185455322266,-71.08858489990234,39.09999847412109,327938.375,4689216.0,19,T,4,10.34375,2.0
8,9,1665545524,0,GPS1_Frame,42.33618927001953,-71.08857727050781,39.09999847412109,327938.71875,4689216.5,19,T,4,10.6875,2.5
9,10,1665545525,0,GPS1_Frame,42.3361930847168,-71.08857727050781,39.09999847412109,327939.0,4689217.0,19,T,4,10.96875,3.0
10,11,1665545526,0,GPS1_Frame,42.33619689941406,-71.08856964111328,39.09999847412109,327939.25,4689217.5,19,T,4,11.21875,3.5
11,12,1665545527,0,GPS1_Frame,42.33619689941406,-71.08856964111328,39.09999847412109,327939.5,4689217.5,19,T,4,11.46875,3.5
12,13,1665545528,0,GPS1_Frame,42.33620071411133,-71.08856964111328,39.09999847412109,327939.78125,4689218.0,19,T,4,11.75,4.0
13,14,1665545529,0,GPS1_Frame,42.336204528808594,-71.08856201171875,39.09999847412109,327940.09375,4689218.0,19,T,4,12.0625,4.0
14,15,1665545530,0,GPS1_Frame,42.336204528808594,-71.08856201171875,39.09999847412109,327940.34375,4689218.5,19,T,4,12.3125,4.5
