Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,roll,pitch,yaw,string
1667362681.9389699,0,1667362681,938609361,IMU1_Frame,0,0,0,,-0.0656450670396197,0.06453073557880619,0.6101954947602246,0.7868849773082127,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.007898,0.001747,-0.031624,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.947,-0.024,-9.372,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0235,-0.2077,0.3372,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.431,10.467,75.453,"$VNYMR,+075.453,+010.467,-001.431,+00.0235,-00.2077,+00.3372,+01.947,-00.024,-09.372,+00.007898,+00.001747,-00.031624*63
"
1667362681.964847,0,1667362681,964480876,IMU1_Frame,0,0,0,,-0.065587969452716,0.06459441035466998,0.6097670044818421,0.7872166033940361,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.013506,-0.001284,-0.031465,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.077,0.334,-9.732,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0215,-0.2077,0.3249,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.427,10.468,75.391,"$VNYMR,+075.391,+010.468,-001.427,+00.0215,-00.2077,+00.3249,+02.077,+00.334,-09.732,+00.013506,-00.001284,-00.031465*60
"
1667362681.9901328,0,1667362681,989389419,IMU1_Frame,0,0,0,,-0.06555845541452177,0.0646561969991532,0.6094617948510864,0.7874503068322222,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.005272,0.003622,-0.028423,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.806,0.139,-9.46,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0274,-0.1979,0.3539,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.424,10.471,75.347,"$VNYMR,+075.347,+010.471,-001.424,+00.0274,-00.1979,+00.3539,+01.806,+00.139,-09.460,+00.005272,+00.003622,-00.028423*60
"
1667362682.0146933,0,1667362682,14312505,IMU1_Frame,0,0,0,,-0.06551955323842303,0.06471354156273713,0.6091906988556108,0.7876585796585078,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.006258,0.00498,-0.029887,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.901,-0.034,-9.548,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0262,-0.2128,0.3296,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.42,10.473,75.308,"$VNYMR,+075.308,+010.473,-001.420,+00.0262,-00.2128,+00.3296,+01.901,-00.034,-09.548,+00.006258,+00.004980,-00.029887*68
"
1667362682.039687,0,1667362682,39254426,IMU1_Frame,0,0,0,,-0.06549603953403749,0.06479364621135586,0.6088295066636115,0.787933172313323,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.006612,0.001089,-0.031978,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.485,0.425,-10.03,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0225,-0.2087,0.3405,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.417,10.478,75.256,"$VNYMR,+075.256,+010.478,-001.417,+00.0225,-00.2087,+00.3405,+02.485,+00.425,-10.030,+00.006612,+00.001089,-00.031978*63
"
1667362682.0645356,0,1667362682,64190149,IMU1_Frame,0,0,0,,-0.06548633773957388,0.06487360868152157,0.6084889870085701,0.7881904003192245,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00633,0.002254,-0.03465,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.023,0.102,-9.388,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0312,-0.197,0.3551,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.415,10.484,75.207,"$VNYMR,+075.207,+010.484,-001.415,+00.0312,-00.1970,+00.3551,+02.023,+00.102,-09.388,+00.006330,+00.002254,-00.034650*65
"
1667362682.0894773,0,1667362682,89048147,IMU1_Frame,0,0,0,,-0.06548398449133186,0.06499175852416074,0.6081456145946208,0.7884458323489365,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.01257,0.011573,-0.036175,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.748,-0.001,-9.111,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.028,-0.2139,0.3242,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.411,10.494,75.158,"$VNYMR,+075.158,+010.494,-001.411,+00.0280,-00.2139,+00.3242,+01.748,-00.001,-09.111,+00.012570,+00.011573,-00.036175*6A
"
1667362682.1304243,0,1667362682,114023447,IMU1_Frame,0,0,0,,-0.06547778529167254,0.06513488620659014,0.6077933007428624,0.78870616189063,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.011715,0.01164,-0.035144,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.769,0.129,-9.87,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0262,-0.2118,0.3274,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.405,10.506,75.108,"$VNYMR,+075.108,+010.506,-001.405,+00.0262,-00.2118,+00.3274,+02.769,+00.129,-09.870,+00.011715,+00.011640,-00.035144*69
"
1667362682.1737053,0,1667362682,138924837,IMU1_Frame,0,0,0,,-0.06550467588619756,0.06529672020658699,0.6074197303211195,0.788978293100593,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.010588,0.012532,-0.035797,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.372,0.218,-10.218,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0263,-0.2098,0.344,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.401,10.522,75.055,"$VNYMR,+075.055,+010.522,-001.401,+00.0263,-00.2098,+00.3440,+03.372,+00.218,-10.218,+00.010588,+00.012532,-00.035797*63
"
1667362682.1737497,0,1667362682,163857460,IMU1_Frame,0,0,0,,-0.06558185392756792,0.0655739361974944,0.607004206210721,0.7892686316897958,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.006604,0.011246,-0.03675,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.592,0.068,-9.431,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.0301,-0.2119,0.3486,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.394,10.552,74.997,"$VNYMR,+074.997,+010.552,-001.394,+00.0301,-00.2119,+00.3486,+02.592,+00.068,-09.431,+00.006604,+00.011246,-00.036750*68
"
